JICHTICD,KOJINNO,DNWNOID,RIREKINO,SHKTURKGYUMNCHJ,KUSNGYUMNCHJ,KUSNSYSTEMNCHJ,KUSNCOMPMI,KUSNUSERID,YUKOFLAG,KSSIJOUTI,KYUJCHTICD,DNWNO,HNSHUDNWNO,KUKISHZKID,DNWNOKBN,USERMI,SHZKMI,GYUMID,BKU_60
244619,0007020198,1,1,20190307000000000,20190307000000000,20190307115827580,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0001173588,1,1,20170605160912656,20170605161045941,20170605161045941,M-31205,tantou144,1,0,null,12345678911234,12345678911234,0000000000,8,担当１４４,ＭＥＣ,000,null
244619,0000071578,1,1,20161024151334279,20161024151334279,20161024151334279,M-31332,tantou37,1,0,000000,11111111111,11111111111,0000000000,1,担当３７,ＭＥＣ,000,null
244619,0000317598,2,1,20180128160621637,20180128160621637,20180128160621637,M-31280,tantou145,1,0,000000,0598334567,0598334567,0000000000,3,担当１４５,ＭＥＣ,000,null
244619,0001018868,1,1,20180219163734913,20180219163734913,20180219163734913,M-29854,tantou139,1,0,null,1234567890,1234567890,0000000000,1,担当１３９,ＭＥＣ,000,null
244619,0000061648,1,1,20180830112847120,20180830112847120,20180830112847121,M-31310,tantou33,1,0,000000,1234567890123456,1234567890123456,0000000000,1,担当３３,ＭＥＣ,000,テスト
244619,0001123858,1,1,20170105131345231,20170105131345231,20170105131345231,M-31332,tantou37,1,0,null,1111111111111111,1111111111111111,0000000000,2,担当３７,ＭＥＣ,000,null
244619,0001156438,2,1,20170417100920666,20170417102810819,20170417102810819,M-29883,tantou77,1,0,null,888888,888888,9000000000,2,担当７７,ＭＥＣ,000,null
244619,0000067018,2,1,20190225135516532,20190225135516532,20190225135516532,M-29883,tantou77,1,0,000000,(222)222-2222,2222222222,0000000000,1,担当７７,ＭＥＣ,000,null
244619,0007019998,1,1,20190307000000000,20190307000000000,20190307091452219,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
